17,41
42,3,45
25,42,29
1,42,49
42,18,46
17,28,13
38,42,14
42,45,13
25,42,18
32,41,38
42,28,47
49,13,47
49,28,41
48,41,42
32,20,29
48,42,47
32,28,47
10,42,47
28,29,14
42,28,45
17,10,29,49
42,3,29,47
49,42,3,14
32,41,42,28
17,42,18,14
48,42,28,38
32,41,10,29
32,42,28,14
42,13,29,47
32,18,20,42
1,18,42,29
32,1,42,18
49,42,13,14
32,42,48,14
32,10,13,38
49,10,42,14
8,32,42,18
8,18,42,29
41,42,29,38
10,42,13,14
32,1,42,29
32,29,13,14
48,42,18,14
18,42,28,14
41,18,42,38
42,28,13,38
32,41,28,29
48,17,42,18,29
48,10,18,42,38
32,18,42,11,29
48,49,42,3,28
3,49,42,10,28
48,17,42,18,32
18,3,42,29,14
17,10,18,42,28
49,18,45,42,29
17,10,18,42,13
49,18,20,42,29
42,10,28,29,38
48,42,18,28,13
49,42,10,28,38
49,42,3,28,13
32,42,18,13,47
3,42,18,13,38
48,49,10,28,42
32,10,28,42,38
49,18,42,29,14
48,18,3,42,13
48,49,42,18,38
49,10,42,13,38
10,18,42,3,14
48,42,18,29,38
32,41,42,18,10
32,18,45,42,29
17,18,3,42,38
41,18,10,42,29
32,18,48,42,38
32,49,18,42,14
32,18,42,3,14
49,10,42,28,13
32,49,42,29,14
18,3,42,28,38
32,17,28,29,49
41,18,28,42,29
41,18,13,42,29
32,42,3,29,14
18,29,42,13,14
32,18,3,42,47
32,49,42,48,38
18,42,10,28,38
17,42,18,29,38
32,17,42,18,38
48,49,42,29,38
17,10,18,42,49
32,18,42,13,14
48,42,32,29,38
49,10,3,42,38
48,13,42,10,29
48,49,18,29,42,13
17,18,3,42,10,29
32,3,10,42,28,29
18,29,42,10,28,13
32,49,18,41,42,29
32,49,38,42,28,29
48,18,3,42,28,29
32,18,3,42,38,10
18,3,10,42,28,29
32,48,18,29,42,13
32,48,18,3,42,10
49,18,3,38,42,29
32,48,3,42,28,29
32,49,18,42,38,10
32,18,29,38,42,13
18,3,42,38,10,29
32,18,3,42,10,28
32,17,18,42,10,29
32,18,42,38,10,29
32,18,3,41,42,29
32,49,18,38,42,13
49,18,17,29,42,13
32,49,18,38,42,28
48,18,42,10,28,29
32,49,18,17,42,28
32,49,18,38,42,29
32,48,49,18,42,13
18,29,42,38,10,13
32,18,42,10,29,14
32,18,10,42,28,13
49,18,38,42,28,29
32,48,18,42,10,28
32,49,18,17,42,13
17,18,49,42,28,29
32,49,3,38,42,29
32,48,18,42,10,13
49,18,29,38,42,13
32,49,42,38,10,29
32,18,3,42,28,13
32,17,18,3,42,10
32,17,18,29,42,13
18,3,29,42,28,13
32,18,38,42,28,29
32,18,3,38,42,29
32,49,18,42,29,47
17,18,3,29,42,13
32,17,18,3,42,13
48,18,3,42,10,29
32,49,18,3,38,42
32,48,18,3,42,28
49,18,42,38,10,29
49,18,3,42,29,10,13
32,49,18,3,42,10,29
32,49,18,29,3,42,13
32,48,49,18,42,28,29
32,18,3,42,29,10,13
32,49,18,29,10,42,13
32,48,49,18,10,42,29
32,49,18,29,42,28,13
32,49,18,3,42,28,29
32,17,18,3,42,28,29
32,49,18,10,42,28,29
32,17,18,3,49,42,29
32,48,49,3,18,42,29
