42,47
13,38
42,28,38
17,42,28
42,28,13
18,42,14
32,49,38
32,10,28
10,42,29,38
32,49,42,48
41,18,42,29
48,18,3,42
48,18,28,42
10,28,42,29
48,10,18,42
17,42,29,49
10,18,42,38
32,42,48,28
18,3,42,38
17,42,18,49
32,49,29,13
18,10,42,28
32,29,18,42,13
18,13,42,3,29
18,17,42,3,29
32,10,18,42,29
49,18,13,42,29
32,18,3,42,13
32,49,18,42,13
32,18,48,42,29
32,42,18,29,38
32,10,42,3,18
49,42,18,29,38
18,42,3,28,29
3,10,18,42,29
48,49,18,42,29
32,17,18,3,42
49,10,18,42,29
32,18,3,42,28
13,10,18,42,29
32,17,18,42,29
32,49,18,10,42
32,49,18,42,28,29
32,49,18,3,42,29
